prefix,count,total_effective_usd,top_brand,top_brand_share,sample_sku
EDA,120,2309116.839752,unknown,0.941667,EDA400BC33QGRK
EDA5,80,2038838.491287,unknown,0.912500,EDA50
EDA51,52,1185848.988223,unknown,1.000000,EDA51
FX808,72,371371.960372,unknown,1.000000,FX808313
FX8083,53,315415.024474,unknown,1.000000,FX808313
CN80,43,101163.361111,unknown,1.000000,CN80
R210,118,37444.384617,unknown,1.000000,R210611004
R21065,80,23517.705127,unknown,1.000000,R2106500X0
P221,47,13466.255032,unknown,1.000000,P2210F
