part_number,raw_photo_path,raw_width,raw_height,min_dimension,bucket,enhanced_photo_path,enhanced_generated,photo_ready_for_future_cloud,next_action
FX808363,D:\BIRETOS\projects\biretos-automation\downloads\photos\FX808363.jpg,400,314,314,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\FX808363__catalog_placeholder_v1__c0151cf4.jpg,True,False,upscale_then_review
FX808364,D:\BIRETOS\projects\biretos-automation\downloads\photos\FX808364.jpg,278,395,278,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\FX808364__catalog_placeholder_v1__ffd3629e.jpg,True,False,upscale_then_review
FX808397,D:\BIRETOS\projects\biretos-automation\downloads\photos\FX808397.jpg,400,379,379,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\FX808397__catalog_placeholder_v1__d24ed831.jpg,True,False,upscale_then_review
FX808430.18R,D:\BIRETOS\projects\biretos-automation\downloads\photos\FX808430.18R.jpg,800,310,310,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\FX808430.18R__catalog_placeholder_v1__f782dd63.jpg,True,False,upscale_then_review
FX808431,D:\BIRETOS\projects\biretos-automation\downloads\photos\FX808431.jpg,800,310,310,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\FX808431__catalog_placeholder_v1__0ef69d1a.jpg,True,False,upscale_then_review
FX808439,D:\BIRETOS\projects\biretos-automation\downloads\photos\FX808439.jpg,1024,1024,1024,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\FX808439__catalog_placeholder_v1__7d3f3f46.jpg,True,True,keep_enhanced
GLATRON,D:\BIRETOS\projects\biretos-automation\downloads\photos\GLATRON.jpg,500,375,375,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\GLATRON__catalog_placeholder_v1__b0b02a41.jpg,True,False,upscale_then_review
H3D1F1X,D:\BIRETOS\projects\biretos-automation\downloads\photos\H3D1F1X.jpg,960,1280,960,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\H3D1F1X__catalog_placeholder_v1__89ba4b0c.jpg,True,True,keep_enhanced
H4L6GR2,D:\BIRETOS\projects\biretos-automation\downloads\photos\H4L6GR2.jpg,5760,3840,3840,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\H4L6GR2__catalog_placeholder_v1__02a29149.jpg,True,True,keep_enhanced
H4W4GR1Y,D:\BIRETOS\projects\biretos-automation\downloads\photos\H4W4GR1Y.jpg,500,500,500,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\H4W4GR1Y__catalog_placeholder_v1__06a11452.jpg,True,True,keep_enhanced
H4W4PER2,D:\BIRETOS\projects\biretos-automation\downloads\photos\H4W4PER2.jpg,400,400,400,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\H4W4PER2__catalog_placeholder_v1__a3636340.jpg,True,True,keep_enhanced
HBL6GR2,D:\BIRETOS\projects\biretos-automation\downloads\photos\HBL6GR2.jpg,1280,720,720,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\HBL6GR2__catalog_placeholder_v1__d1563b54.jpg,True,True,keep_enhanced
HCM-4-2U,D:\BIRETOS\projects\biretos-automation\downloads\photos\HCM-4-2U.jpg,2000,2000,2000,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\HCM-4-2U__catalog_placeholder_v1__361672de.jpg,True,True,keep_enhanced
HVAC23C5,D:\BIRETOS\projects\biretos-automation\downloads\photos\HVAC23C5.jpg,400,400,400,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\HVAC23C5__catalog_placeholder_v1__d9561ca7.jpg,True,True,keep_enhanced
HVAC31C5,D:\BIRETOS\projects\biretos-automation\downloads\photos\HVAC31C5.jpg,600,510,510,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\HVAC31C5__catalog_placeholder_v1__09ba3a3c.jpg,True,True,keep_enhanced
HVAC46C5,D:\BIRETOS\projects\biretos-automation\downloads\photos\HVAC46C5.jpg,600,510,510,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\HVAC46C5__catalog_placeholder_v1__09ba3a3c.jpg,True,True,keep_enhanced
IMC-101-S-SC,D:\BIRETOS\projects\biretos-automation\downloads\photos\IMC-101-S-SC.jpg,200,200,200,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\IMC-101-S-SC__catalog_placeholder_v1__a54444a5.jpg,True,False,upscale_then_review
IP,D:\BIRETOS\projects\biretos-automation\downloads\photos\IP.jpg,300,250,250,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\IP__catalog_placeholder_v1__11b70599.jpg,True,False,upscale_then_review
KCD2090XI,D:\BIRETOS\projects\biretos-automation\downloads\photos\KCD2090XI.jpg,200,200,200,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\KCD2090XI__catalog_placeholder_v1__f82b22b3.jpg,True,False,upscale_then_review
KD-050,D:\BIRETOS\projects\biretos-automation\downloads\photos\KD-050.jpg,1200,800,800,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\KD-050__catalog_placeholder_v1__bad32d2c.jpg,True,True,keep_enhanced
KTF00-65-2M,D:\BIRETOS\projects\biretos-automation\downloads\photos\KTF00-65-2M.jpg,800,600,600,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\KTF00-65-2M__catalog_placeholder_v1__80ce290b.jpg,True,True,keep_enhanced
